accommodates,bathrooms,bedrooms,latitude,longitude,room_type,review_scores_rating,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_listings_count,host_response_rate,property_type,neighbourhood,cleanliness_rating,communication_rating,value_rating,cancellation_policy,instant_bookable,host_is_superhost,bathrooms_text,review_scores_accuracy,review_scores_cleanliness,price
4,2.25,3,40.70167,-73.99995,Entire home/apt,91,10,21,228,10,7,75.4,House,Manhattan,7.3,7.8,8.9,moderate,1,0,2.2 bath,9.1,7.2,300.0
5,2.52,3,40.69347,-74.00568,Entire home/apt,61,6,29,260,23,8,86.8,House,Queens,7.8,8.2,9.8,flexible,1,0,2.5 bath,7.7,9.9,300.0
3,2.68,1,40.70142,-74.00256,Entire home/apt,82,3,17,258,26,9,91.5,Apartment,Manhattan,7.6,8.0,7.3,moderate,0,1,2.7 bath,9.1,8.6,300.0
5,2.52,2,40.72487,-73.99548,Private room,82,7,25,344,35,1,92.4,Apartment,Brooklyn,9.0,9.8,7.8,flexible,1,0,2.5 shared bath,7.9,7.9,300.0
5,1.71,3,40.69005,-74.00068,Private room,50,8,29,272,49,10,71.1,Apartment,Manhattan,7.2,7.2,8.9,flexible,1,1,1.7 baths,9.8,8.4,300.0
2,2.99,2,40.70658,-74.01236,Private room,51,1,21,359,5,5,70.2,Apartment,Brooklyn,8.0,7.4,7.7,moderate,0,1,3.0 bath,9.4,8.3,262.48
3,1.87,2,40.69085,-74.00348,Private room,84,10,12,212,9,3,88.0,Apartment,Queens,7.3,7.4,9.6,moderate,1,1,1.9 shared bath,7.0,7.5,265.18
3,1.05,2,40.70482,-74.00499,Private room,50,9,16,275,34,3,90.6,Apartment,Brooklyn,9.5,8.7,9.1,moderate,1,0,1.1 bath,9.9,7.3,228.51
3,1.73,1,40.69341,-74.00259,Entire home/apt,64,5,13,341,11,6,96.9,House,Staten Island,8.7,8.2,8.0,flexible,1,0,1.7 bath,7.7,7.2,270.98
5,1.26,2,40.69836,-74.02834,Entire home/apt,100,7,23,302,49,6,96.2,Condo,Brooklyn,9.0,8.9,9.5,moderate,1,0,1.3 baths,9.2,9.0,300.0
4,1.24,3,40.70158,-73.98926,Entire home/apt,79,6,27,249,3,5,95.2,Apartment,Brooklyn,8.1,7.9,10.0,moderate,1,1,1.2 baths,8.3,8.5,300.0
3,1.56,2,40.7132,-74.00278,Entire home/apt,73,9,15,318,45,3,86.2,Apartment,Bronx,9.3,8.3,10.0,flexible,1,1,1.6 baths,7.9,9.3,292.36
5,1.11,2,40.68526,-73.99525,Entire home/apt,91,8,10,302,4,9,87.2,Apartment,Manhattan,8.7,8.0,8.8,strict,0,1,1.1 shared bath,9.5,7.4,300.0
2,2.38,2,40.717,-73.9926,Private room,87,10,28,241,44,7,71.0,House,Queens,7.5,9.0,9.6,strict,0,0,2.4 baths,7.2,7.3,269.01
